[2016-07-31 22:38:02] name.WARNING: Foo [] []
[2016-07-31 22:38:03] name.WARNING: Foo [] []
[2016-07-31 22:42:15] name.WARNING: Foo [] []
[2016-07-31 22:46:47] name.WARNING: Foo [] []
[2016-07-31 23:03:16] name.WARNING: Foo [] []
[2016-07-31 23:34:33] name.WARNING: 200 Array [] []
[2016-07-31 23:35:41] name.WARNING: 200 [] []
[2016-07-31 23:43:42] name.INFO:  [] []
[2016-07-31 23:44:22] name.INFO: OK [] []
[2016-07-31 23:52:39] name.ERROR: Stato: 404 No user found for this id! [] []
[2016-07-31 23:53:19] name.ERROR: Stato: 404 No user found for this id! [] []
[2016-08-01 00:21:41] name.ERROR: GET request, Stato: 404 No user found for this id! [] []
[2016-08-01 00:22:11] name.ERROR: GET request, Stato: 404 No user found for this id! [] []
[2016-08-01 00:22:18] name.INFO: GET request, Stato: 200, Users Found! [] []
[2016-08-01 00:22:29] name.INFO: GET request, Stato: 200, Data returned! [] []
[2016-08-01 00:22:41] name.ERROR: GET request, Stato: 404 No user found for this id! [] []
[2016-08-01 00:27:05] name.ERROR: GET request, Stato: 404 No user found for this id! [] []
[2016-08-01 00:27:31] name.INFO: GET request, Stato: 200, Users Found! [] []
[2016-08-01 00:28:40] name.INFO: POST request, Stato: 201, Data inserted! [] []
[2016-08-01 00:28:54] name.ERROR: POST request, Stato: 400, Error inserting data! [] []
[2016-08-01 00:29:15] name.ERROR: POST request, Stato: 400, Void Request! [] []
[2016-08-01 00:30:19] name.ERROR: PUT/PATCH request, Stato: 400, Void Request! [] []
[2016-08-01 00:31:16] name.INFO: PUT/PATCH request, Stato: 201, Data Updated! [] []
[2016-08-01 00:31:30] name.ERROR: PUT/PATCH request, Stato: 400, Error updating data! [] []
[2016-08-01 00:31:45] name.INFO: DELETE request, Stato: 204, Data deleted! [] []
[2016-08-01 00:33:08] name.INFO: DELETE request, Stato: 204, Data deleted! [] []
[2016-08-01 00:34:44] name.INFO: DELETE request, Stato: 204, Data deleted! [] []
[2016-08-01 00:34:55] name.INFO: DELETE request, Stato: 204, Data deleted! [] []
[2016-08-01 00:36:45] name.INFO: DELETE request, Stato: 204, Data deleted! [] []
[2016-08-01 00:37:06] name.INFO: DELETE request, Stato: 204, Data deleted! [] []
[2016-08-01 00:37:29] name.INFO: DELETE request, Stato: 204, Data deleted! [] []
[2016-08-01 00:38:52] name.INFO: DELETE request, Stato: 204, Data deleted! [] []
[2016-08-01 00:39:43] name.ERROR: DELETE request, Stato: 400, Void Request! [] []
[2016-08-01 00:40:35] name.INFO: PUT/PATCH request, Stato: 201, Data Updated! [] []
[2016-08-01 01:01:45] name.INFO: GET request, Stato: 200, Data returned! [] []
[2016-08-01 01:26:16] name.INFO: GET request, Stato: 200, Data returned! [] []
[2016-08-01 01:47:18] name.INFO: GET request, Stato: 200, Data returned! [] []
[2016-08-01 01:52:39] name.INFO: GET request, Stato: 200, Data returned! [] []
[2016-08-01 01:52:40] name.INFO: GET request, Stato: 200, Data returned! [] []
[2016-08-01 01:53:06] name.INFO: GET request, Stato: 200, Users Found! [] []
[2016-08-01 01:55:09] name.INFO: GET request, Stato: 200, Users Found! [] []
[2016-08-01 01:55:09] name.INFO: GET request, Stato: 200, Users Found! [] []
[2016-08-01 01:55:10] name.INFO: GET request, Stato: 200, Users Found! [] []
[2016-08-01 01:55:11] name.INFO: GET request, Stato: 200, Users Found! [] []
[2016-08-01 01:55:12] name.INFO: GET request, Stato: 200, Users Found! [] []
[2016-08-01 01:55:12] name.INFO: GET request, Stato: 200, Users Found! [] []
[2016-08-01 01:55:12] name.INFO: GET request, Stato: 200, Users Found! [] []
[2016-08-01 01:58:23] name.INFO: GET request, Stato: 200, Users Found! [] []
[2016-08-01 02:10:17] name.INFO: GET request, Stato: 200, Users Found! [] []
